"yr","blk","a1","a2","a3","a4","a5","a7","a8","a9","a10","a11","a12","bonus","pf","welfare","mwdays","nwdays","wdays","costop","expshare","mult"
"24","A","114080","99999",1,"9999","24105","09","99",1,"9999",1,1,0,1605670,0,310,0,310,2708009167,0,1
"24","A","114081","99999",1,"9999","24109","09","99",2,"9999",1,1,3368000,4301000,3221000,306,0,306,6111984000,0,1
"24","A","114082","99999",1,"9999","24109","09","99",1,"9999",1,1,123,49047,0,313,0,313,78709181,0,1
"24","A","114083","99999",1,"9999","24101","09","99",2,"9999",1,1,15480,0,14520,304,0,304,95798851,0,1
"24","A","114085","99999",1,"9999","24109","09","99",2,"9999",1,1,1462000,2533000,1922000,298,0,298,1215216377,0,1
"24","A","114086","99999",1,"9999","24109","09","99",2,"9999",1,1,0,2530892,2584005,303,0,303,881409951,0,1
"24","A","114087","99999",1,"9999","24101","09","99",2,"9999",1,1,24790000,31320000,48350000,308,0,308,4106350000,0,1
"24","A","114089","99999",1,"9999","24109","09","99",2,"9999",1,1,98788,338114,0,310,0,310,3797420,0,1
"24","A","114090","99999",1,"9999","24103","09","99",1,"9999",1,1,0,0,0,79,233,312,376819000,0,1
"24","A","114091","99999",1,"9999","29301","09","99",1,"9999",1,1,1008965,540932,148804,303,0,303,332574802,0,1
"24","A","114092","99999",1,"9999","24319","09","99",2,"9999",1,1,142562,448650,233881,301,0,301,44321995,0,1
"24","A","114094","99999",1,"9999","20129","09","99",1,"9999",1,1,0,0,12852,173,0,173,25563678,0,1
"24","A","114095","99999",1,"9999","24109","09","99",2,"9999",1,1,0,0,518023,306,0,306,655747432,0,1
"24","A","114096","99999",1,"9999","24103","09","99",1,"9999",1,1,0,138769,0,303,0,303,198018258,0,1
"24","A","114097","99999",1,"9999","29301","09","99",1,"9999",1,1,0,0,0,149,0,149,320589,0,1
"24","A","114098","99999",1,"9999","25994","09","99",1,"9999",1,1,0,0,0,306,0,306,45660445,0,1
"24","A","114099","99999",1,"9999","24209","09","99",2,"9999",1,1,168867,0,0,303,0,303,38145524,0,1
"24","A","114100","99999",1,"9999","24202","09","99",2,"9999",2,1,107591266,664554626,512821282,366,0,366,72659210897,28,1
"24","A","114101","99999",1,"9999","24202","09","99",2,"9999",1,1,207034,347622,114379,303,0,303,72969683,0,1
"24","A","114102","99999",1,"9999","24201","09","99",2,"9999",1,1,0,41631,33103,308,0,308,11951945,0,1
"24","A","114103","99999",1,"9999","24203","09","99",2,"9999",1,1,83861,40161,0,303,0,303,6057772,0,1
"24","A","114104","99999",1,"9999","24201","09","99",2,"9999",2,1,0,3360193,6953000,302,0,302,8349742000,0,1
"24","A","114105","99999",1,"9999","24202","09","99",2,"9999",1,1,72743,140934,0,303,0,303,176307319,0,1
"24","A","114106","99999",1,"9999","24209","09","99",2,"9999",1,1,205367,168331,0,266,0,266,34698458,0,1
"24","A","114107","99999",1,"9999","24202","09","99",2,"9999",1,1,34118,11880,10115,249,0,249,7161715,0,1
"24","A","114108","99999",1,"9999","24201","09","99",2,"9999",1,1,35384,51350,0,306,0,306,26300944,0,1
"24","A","114109","99999",1,"9999","20116","09","99",1,"9999",1,1,30411,62077,9880,303,0,303,137407252,0,1
"24","A","114110","99999",1,"9999","24203","09","99",2,"9999",1,1,2936234,1003523,151634,310,0,310,317419425,0,1
"24","A","114111","99999",1,"9999","24209","09","99",2,"9999",1,1,132000,153167,0,292,0,292,49464217,0,1
"24","A","114112","99999",1,"9999","24201","09","99",2,"9999",1,1,927755,625523,0,313,0,313,218706127,0,1
"24","A","114113","99999",1,"9999","24204","09","99",2,"9999",1,1,324866,43404,0,304,0,304,648504467,0,1
"24","A","114114","99999",1,"9999","24202","09","99",2,"9999",1,1,124694,104216,10595,315,0,315,31040745,0,1
"24","A","114115","99999",1,"9999","24202","09","99",2,"9999",1,1,149761,58436,70398,303,0,303,13606422,0,1
"24","A","114116","99999",1,"9999","24202","09","99",1,"9999",1,1,420476,818813,69427,301,0,301,62958060,0,1
"24","A","114117","99999",1,"9999","24209","09","99",2,"9999",1,1,24152,48375,0,299,0,299,21722062,0,1
"24","A","114118","99999",1,"9999","24203","09","99",1,"9999",1,1,0,0,13000,304,0,304,231905360,0,1
"24","A","114119","99999",1,"9999","24202","09","99",2,"9999",1,1,0,71421,1790759,303,0,303,240608480,0,1
"24","A","114120","99999",1,"9999","24209","09","99",1,"9999",1,1,0,279090,0,302,0,302,246058933,0,1
"24","A","114121","99999",1,"9999","24202","09","99",1,"9999",1,1,986000,4197000,1571000,302,0,302,2617361000,0,1
"24","A","114122","99999",1,"9999","24209","09","99",2,"9999",1,3,0,0,0,0,0,0,0,0,1
"24","A","114123","99999",1,"9999","24209","09","99",2,"9999",1,1,0,0,0,302,0,302,16801817,0,1
"24","A","114124","99999",1,"9999","24202","09","99",1,"9999",1,1,890351,1507875,0,305,0,305,1040604127,0,1
